PCode,Name,Team,Season,VS LEFTY_AVG,VS LEFTY_AB,VS LEFTY_H,VS LEFTY_2B,VS LEFTY_3B,VS LEFTY_HR,VS LEFTY_RBI,VS LEFTY_BB,VS LEFTY_HBP,VS LEFTY_SO,VS LEFTY_GIDP,VS RIGHTY_AVG,VS RIGHTY_AB,VS RIGHTY_H,VS RIGHTY_2B,VS RIGHTY_3B,VS RIGHTY_HR,VS RIGHTY_RBI,VS RIGHTY_BB,VS RIGHTY_HBP,VS RIGHTY_SO,VS RIGHTY_GIDP
62404,Koo Ja-wook,Samsung,2025,0.371,170.0,63.0,14.0,2.0,3.0,38.0,19.0,2.0,27.0,3.0,0.293,338,99,27,0,16,57,54,3,59,5
74540,Kang Min-ho,Samsung,2025,0.315,108.0,34.0,9.0,1.0,3.0,24.0,12.0,1.0,15.0,2.0,0.263,278,73,13,0,9,44,25,4,50,11
50458,Kim Ji-chan,Samsung,2025,0.312,77.0,24.0,1.0,1.0,0.0,7.0,7.0,3.0,14.0,2.0,0.274,226,62,6,1,0,15,30,2,29,5
52430,Kim Young-woong,Samsung,2025,0.224,125.0,28.0,6.0,0.0,4.0,13.0,9.0,1.0,39.0,3.0,0.263,308,81,16,2,18,59,36,1,100,3
62234,Ryu Ji-hyuk,Samsung,2025,0.294,102.0,30.0,2.0,0.0,0.0,6.0,12.0,2.0,18.0,6.0,0.275,273,75,12,0,1,29,21,9,54,5
52415,Lee Jae-hyeon,Samsung,2025,0.324,108.0,35.0,12.0,1.0,4.0,16.0,19.0,6.0,38.0,1.0,0.223,328,73,16,0,11,42,48,5,77,6
54400,Lewin Díaz,Samsung,2025,0.33,179.0,59.0,7.0,0.0,15.0,52.0,17.0,6.0,36.0,9.0,0.305,351,107,23,0,32,97,40,0,63,4
75125,Park Byung-ho,Samsung,2025,0.154,52.0,8.0,0.0,0.0,3.0,8.0,6.0,3.0,21.0,1.0,0.217,129,28,4,0,11,24,20,4,44,4
55208,Jake Cave,Doosan,2025,0.272,180.0,49.0,7.0,2.0,4.0,32.0,9.0,1.0,46.0,4.0,0.309,343,106,20,4,11,52,32,3,67,3
79240,Heo Kyoung-min,Doosan,2025,0.35,103.0,36.0,5.0,0.0,1.0,13.0,15.0,6.0,9.0,5.0,0.265,306,81,12,0,2,28,23,8,24,9
79231,Jung Soo-bin,Doosan,2025,0.24,146.0,35.0,5.0,1.0,2.0,11.0,20.0,2.0,20.0,2.0,0.26,300,78,9,3,4,26,40,9,35,5
63123,Kang Seung-ho,Doosan,2025,0.25,116.0,29.0,5.0,1.0,2.0,6.0,6.0,3.0,28.0,1.0,0.219,228,50,12,2,5,29,18,8,82,6
78224,Kim Jae-hwan,Doosan,2025,0.242,95.0,23.0,2.0,0.0,2.0,5.0,14.0,2.0,25.0,2.0,0.241,237,57,10,2,11,43,41,1,66,2
76232,Yang Eui-ji,Doosan,2025,0.281,121.0,34.0,5.0,0.0,5.0,16.0,23.0,0.0,20.0,4.0,0.36,317,114,21,1,15,70,27,7,42,6
64153,Yang Suk-Hwan,Doosan,2025,0.283,60.0,17.0,2.0,0.0,2.0,8.0,8.0,1.0,17.0,1.0,0.223,188,42,14,0,4,19,15,3,61,5
55734,Estevan Florial,Hanwha,2025,0.276,87.0,24.0,6.0,1.0,3.0,13.0,10.0,0.0,18.0,1.0,0.264,159,42,12,1,4,14,14,1,43,1
79608,An Chi-Hong,Hanwha,2025,0.17,53.0,9.0,0.0,0.0,1.0,3.0,6.0,0.0,12.0,3.0,0.156,109,17,3,0,1,13,10,1,26,1
50707,Choi In-ho,Hanwha,2025,0.19,21.0,4.0,1.0,0.0,1.0,6.0,2.0,1.0,3.0,1.0,0.282,103,29,7,0,1,12,10,3,25,2
79192,Eun-seong Chae,Hanwha,2025,0.333,120.0,40.0,11.0,0.0,3.0,21.0,8.0,5.0,20.0,2.0,0.27,330,89,15,1,14,60,22,8,71,2
66715,Kim In-Hwan,Hanwha,2025,,,,,,,,,,,,0.091,22,2,0,0,1,3,1,0,9,1
69737,Roh Si-Hwan,Hanwha,2025,0.215,130.0,28.0,2.0,1.0,6.0,22.0,22.0,4.0,31.0,6.0,0.265,373,99,23,1,22,72,47,7,87,14
55645,Patrick Wisdom,Kia,2025,0.24,125.0,30.0,7.0,1.0,5.0,12.0,10.0,2.0,41.0,3.0,0.247,275,68,13,0,30,70,37,2,93,5
72443,Choi Hyoung-woo,Kia,2025,0.302,149.0,45.0,11.0,1.0,8.0,36.0,14.0,5.0,33.0,4.0,0.302,298,90,16,0,15,48,47,3,62,5
66606,Choi Won-jun,Kia,2025,0.291,110.0,32.0,4.0,1.0,0.0,12.0,10.0,2.0,19.0,3.0,0.224,277,62,8,2,5,28,12,4,48,2
52605,Kim Do-yeong,Kia,2025,0.321,28.0,9.0,3.0,0.0,1.0,8.0,4.0,0.0,5.0,0.0,0.333,69,23,5,0,6,17,6,0,16,2
78603,Kim Sun-bin,Kia,2025,0.347,75.0,26.0,6.0,1.0,0.0,8.0,11.0,0.0,14.0,1.0,0.313,182,57,11,0,3,37,17,3,20,8
63260,Lee Woo-sung,Kia,2025,0.262,107.0,28.0,11.0,0.0,1.0,11.0,11.0,1.0,24.0,3.0,0.25,176,44,10,1,2,20,20,1,37,5
62947,Na Sung-bum,Kia,2025,0.276,98.0,27.0,8.0,0.0,2.0,14.0,12.0,1.0,30.0,2.0,0.261,153,40,6,0,7,20,29,4,46,4
64646,Park Chan-ho,Kia,2025,0.266,139.0,37.0,4.0,1.0,1.0,7.0,16.0,0.0,19.0,2.0,0.293,335,98,12,1,3,30,42,3,45,5
65357,Song Sung-mun,Kiwoom,2025,0.326,193.0,63.0,8.0,0.0,8.0,23.0,22.0,1.0,19.0,4.0,0.305,354,108,25,4,16,60,44,0,72,2
51302,Lee Ju-hyoung,Kiwoom,2025,0.2,5.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.364,11,4,0,0,0,1,1,0,4,0
52366,Yasiel Puig,Kiwoom,2025,0.302,43.0,13.0,1.0,0.0,2.0,5.0,4.0,1.0,11.0,0.0,0.15,100,15,1,0,3,12,8,3,25,1
54444,Ruben Cardenas,Kiwoom,2025,0.281,89.0,25.0,3.0,1.0,3.0,10.0,14.0,0.0,18.0,2.0,0.249,209,52,11,0,4,31,16,6,44,4
78135,Lee Hyung-jong,Kiwoom,2025,0.207,29.0,6.0,2.0,0.0,0.0,2.0,4.0,0.0,7.0,2.0,0.211,38,8,1,0,2,4,4,0,13,1
50054,Cheon Seong-ho,KT,2025,0.214,28.0,6.0,1.0,0.0,0.0,2.0,1.0,0.0,6.0,0.0,0.248,137,34,7,2,1,14,15,5,22,2
78548,Jang Sung-woo,KT,2025,0.336,107.0,36.0,6.0,0.0,5.0,17.0,19.0,0.0,15.0,4.0,0.226,287,65,7,0,8,39,32,2,79,8
68050,Kang Baek-ho,KT,2025,0.244,86.0,21.0,6.0,1.0,1.0,13.0,12.0,2.0,24.0,3.0,0.262,229,60,12,0,12,44,31,1,39,6
64004,Kim Min-hyuck,KT,2025,0.333,111.0,37.0,3.0,0.0,0.0,12.0,7.0,1.0,14.0,4.0,0.258,256,66,6,2,0,17,17,6,26,8
67025,Mel Rojas Jr.,KT,2025,0.253,99.0,25.0,5.0,0.0,4.0,15.0,10.0,1.0,17.0,1.0,0.234,222,52,14,0,9,27,31,0,50,8
79402,Sang-su Kim,KT,2025,0.25,96.0,24.0,6.0,0.0,0.0,11.0,15.0,1.0,12.0,4.0,0.256,246,63,8,0,5,36,35,3,45,4
53123,Austin Dean,LG,2025,0.31,129.0,40.0,10.0,0.0,11.0,30.0,33.0,0.0,18.0,6.0,0.313,281,88,14,1,18,58,27,2,41,5
66108,Hong Chang-ki,LG,2025,0.203,64.0,13.0,1.0,0.0,0.0,5.0,8.0,2.0,16.0,1.0,0.351,97,34,2,0,1,11,19,2,22,3
76290,Kim Hyun-soo,LG,2025,0.31,187.0,58.0,10.0,0.0,1.0,32.0,18.0,0.0,32.0,4.0,0.293,283,83,14,0,11,55,41,4,40,5
69102,Moon Bo-gyeong,LG,2025,0.292,178.0,52.0,12.0,1.0,6.0,45.0,33.0,3.0,36.0,6.0,0.262,321,84,9,0,16,58,42,1,71,7
68119,Moon Sung-Ju,LG,2025,0.321,156.0,50.0,11.0,1.0,0.0,24.0,19.0,2.0,23.0,3.0,0.298,302,90,8,1,3,41,34,2,33,6
79365,Park Dong-won,LG,2025,0.252,115.0,29.0,9.0,0.0,5.0,21.0,31.0,0.0,35.0,2.0,0.248,315,78,16,0,15,51,29,2,84,8
62415,Park Hae-min,LG,2025,0.266,143.0,38.0,5.0,0.0,0.0,8.0,22.0,1.0,26.0,3.0,0.277,278,77,12,2,3,33,46,7,65,4
50500,Hwang Seong-bin,Lotte,2025,0.27,63.0,17.0,1.0,0.0,0.0,7.0,3.0,2.0,13.0,0.0,0.249,177,44,3,4,1,14,15,2,32,3
78513,Jeon Jun-woo,Lotte,2025,0.248,105.0,26.0,5.0,0.0,2.0,15.0,11.0,2.0,18.0,2.0,0.306,281,86,18,1,6,54,32,6,48,6
60523,Jung Hoon,Lotte,2025,0.196,56.0,11.0,1.0,0.0,0.0,1.0,1.0,0.0,10.0,0.0,0.198,116,23,8,0,2,9,6,3,27,4
61102,Kang-nam Yoo,Lotte,2025,0.263,80.0,21.0,5.0,0.0,0.0,7.0,8.0,1.0,19.0,2.0,0.281,203,57,11,0,4,29,16,11,43,8
51551,Na Seung-yeup,Lotte,2025,0.171,76.0,13.0,0.0,0.0,3.0,12.0,11.0,3.0,22.0,4.0,0.238,227,54,11,2,5,30,40,1,39,6
50150,Son Ho-young,Lotte,2025,0.26,77.0,20.0,5.0,0.0,2.0,13.0,10.0,0.0,13.0,3.0,0.245,233,57,6,0,2,26,12,9,48,6
54529,Victor Reyes,Lotte,2025,0.337,166.0,56.0,12.0,1.0,3.0,28.0,17.0,0.0,18.0,12.0,0.322,385,124,30,0,10,75,39,3,45,12
52591,Yoon Dong-hee,Lotte,2025,0.301,83.0,25.0,8.0,1.0,2.0,14.0,9.0,1.0,14.0,3.0,0.285,228,65,13,0,7,37,33,9,46,8
69517,Go Seung-min,Lotte,2025,0.295,149.0,44.0,5.0,0.0,2.0,20.0,13.0,1.0,27.0,3.0,0.246,305,75,16,1,1,23,41,2,55,5
51907,Kim Ju-won,NC,2025,0.264,163.0,43.0,6.0,3.0,4.0,18.0,29.0,4.0,32.0,4.0,0.296,341,101,18,5,10,41,32,10,71,4
63963,Kwon Hui-dong,NC,2025,0.234,107.0,25.0,10.0,0.0,1.0,17.0,28.0,0.0,27.0,3.0,0.253,229,58,14,0,4,20,47,11,49,7
54944,Matthew Davidson,NC,2025,0.346,104.0,36.0,6.0,0.0,10.0,26.0,17.0,1.0,31.0,3.0,0.286,252,72,12,0,24,64,13,7,79,6
62907,Park Min-woo,NC,2025,0.211,109.0,23.0,3.0,2.0,0.0,15.0,14.0,3.0,21.0,2.0,0.33,267,88,18,6,3,49,27,6,41,3
79215,Park Kun-woo,NC,2025,0.313,115.0,36.0,7.0,1.0,2.0,18.0,16.0,2.0,19.0,2.0,0.272,246,67,15,0,6,44,28,3,41,4
77532,Son Ah-seop,NC,2025,0.257,105.0,27.0,9.0,1.0,1.0,13.0,12.0,0.0,24.0,2.0,0.299,244,73,11,1,0,30,24,1,32,1
75847,Choi Jeong,SSG,2025,0.246,69.0,17.0,2.0,0.0,5.0,11.0,11.0,2.0,17.0,1.0,0.245,249,61,9,0,17,47,35,9,68,9
50854,Choi Ji-Hoon,SSG,2025,0.281,114.0,32.0,0.0,0.0,2.0,12.0,7.0,3.0,23.0,0.0,0.279,376,105,15,4,5,29,34,2,63,1
53827,Guillermo Heredia,SSG,2025,0.345,87.0,30.0,6.0,0.0,5.0,14.0,5.0,0.0,12.0,2.0,0.347,265,92,12,0,8,38,24,7,46,7
69813,Ha Jae-hoon,SSG,2025,0.167,18.0,3.0,0.0,0.0,2.0,4.0,3.0,0.0,7.0,0.0,0.139,36,5,0,0,1,4,1,0,13,1
62895,Han Yoo-seom,SSG,2025,0.206,97.0,20.0,4.0,0.0,3.0,11.0,9.0,1.0,24.0,1.0,0.294,333,98,20,0,11,59,34,5,85,4
54805,Park Ji-hwan,SSG,2025,0.143,21.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,7.0,0.0,0.139,36,5,0,0,0,2,4,0,12,1
76267,Choi Joo-hwan,Kiwoom,2025,0.229,140.0,32.0,7.0,1.0,1.0,17.0,15.0,3.0,24.0,5.0,0.287,296,85,23,0,8,50,18,2,38,3
53764,Moon Hyun-bin,Hanwha,2025,0.291,175.0,51.0,8.0,2.0,2.0,21.0,9.0,2.0,26.0,4.0,0.328,332,109,22,0,10,57,26,7,55,7
67449,Kim Seong-yoon,Samsung,2025,0.283,145.0,41.0,6.0,1.0,2.0,19.0,22.0,4.0,21.0,5.0,0.346,292,101,20,8,4,40,42,1,32,5
52001,Ahn Hyun-min,KT,2025,0.337,92.0,31.0,2.0,0.0,8.0,24.0,21.0,1.0,21.0,1.0,0.334,290,97,17,4,14,54,53,7,50,3
55392,Eo Joon-seo,Unknown,2025,0.255,94.0,24.0,2.0,0.0,0.0,5.0,6.0,1.0,26.0,3.0,0.244,209,51,6,1,6,22,23,0,46,6
55703,Liberato Luis,Hanwha,2025,0.329,79.0,26.0,6.0,1.0,1.0,11.0,9.0,0.0,13.0,0.0,0.304,158,48,10,1,9,26,14,0,32,3
64340,Im Ji-yeol,Kiwoom,2025,0.278,115.0,32.0,6.0,0.0,2.0,12.0,16.0,0.0,30.0,3.0,0.235,238,56,8,2,9,38,23,2,75,8
69636,Oh Sun-woo,Kia,2025,0.256,121.0,31.0,5.0,1.0,4.0,11.0,8.0,0.0,47.0,4.0,0.259,290,75,11,0,13,40,25,3,105,6
